Country,client_ip,protocol,time1,server_port
LK,113.59.209.42,TCP,2018-04-01 02:50:21,8081
LK,124.43.28.18,TCP,2018-03-31 21:34:18,8000
LK,124.43.28.18,TCP,2018-03-31 19:57:26,8000
LK,124.43.28.18,TCP,2018-03-31 19:14:06,1
LK,124.43.28.18,TCP,2018-03-31 19:00:57,8000
LK,124.43.28.18,TCP,2018-03-31 23:51:39,8080
LK,113.59.209.42,TCP,2018-03-31 19:51:01,8081
LK,113.59.209.42,TCP,2018-03-31 21:51:15,8081
LK,124.43.28.18,TCP,2018-04-01 06:46:08,8000
LK,124.43.28.18,TCP,2018-03-31 19:53:24,8000
LK,124.43.28.18,TCP,2018-04-01 05:51:07,8080
LK,124.43.28.18,TCP,2018-03-31 21:46:25,8000
LK,113.59.209.42,TCP,2018-04-01 01:15:16,1231
LK,220.247.207.182,TCP,2018-03-31 16:46:32,2009
LK,113.59.209.42,TCP,2018-04-01 01:50:01,8081
LK,113.59.209.42,TCP,2018-04-01 01:15:16,8080
LK,124.43.28.18,TCP,2018-04-01 03:53:01,8080
LK,124.43.28.18,TCP,2018-03-31 21:58:31,8000
LK,220.247.207.182,TCP,2018-04-01 04:45:53,2009
LK,124.43.28.18,TCP,2018-03-31 21:50:02,8080
LK,124.43.28.18,TCP,2018-04-01 06:58:20,8000
LK,124.43.28.18,TCP,2018-04-01 06:54:15,8000
LK,124.43.28.18,TCP,2018-04-01 06:38:02,8000
LK,113.59.209.42,TCP,2018-04-01 03:51:34,8081
LK,113.59.209.42,TCP,2018-03-31 23:50:32,8081
LK,124.43.28.18,TCP,2018-03-31 21:26:14,8000
LK,124.43.28.18,TCP,2018-03-31 21:22:12,8000
LK,220.247.207.182,TCP,2018-04-01 01:11:59,2009
