Country,client_ip,protocol,time1,server_port
LK,124.43.28.18,TCP,2018-03-30 05:53:05,8000
LK,124.43.28.18,TCP,2018-03-30 05:49:02,8000
LK,124.43.28.18,TCP,2018-03-30 05:28:51,8000
LK,124.43.28.18,TCP,2018-03-30 05:12:43,8000
LK,220.247.207.182,TCP,2018-03-29 16:50:31,2009
LK,220.247.207.182,TCP,2018-03-30 03:58:11,2009
LK,220.247.207.182,TCP,2018-03-30 03:36:06,2009
LK,220.247.207.182,TCP,2018-03-30 01:49:22,2009
LK,220.247.207.182,TCP,2018-03-30 01:23:26,2009
LK,124.43.28.18,TCP,2018-03-30 05:51:39,8080
LK,220.247.207.182,TCP,2018-03-29 16:52:42,2009
LK,112.134.181.156,TCP,2018-03-30 05:54:37,2009
LK,220.247.207.182,TCP,2018-03-30 05:56:05,2009
LK,220.247.207.182,TCP,2018-03-30 05:32:37,2009
LK,124.43.28.18,TCP,2018-03-29 21:50:06,8080
LK,220.247.207.182,TCP,2018-03-29 18:33:32,2009
LK,220.247.207.182,TCP,2018-03-29 20:58:22,2009
LK,220.247.207.182,TCP,2018-03-30 06:59:36,2009
LK,220.247.207.182,TCP,2018-03-30 06:44:39,2009
LK,112.134.186.114,TCP,2018-03-30 06:57:05,2009
LK,124.43.28.18,TCP,2018-03-29 22:41:06,8000
LK,124.43.28.18,TCP,2018-03-30 00:34:07,8000
LK,124.43.28.18,TCP,2018-03-30 00:09:54,8000
LK,124.43.28.18,TCP,2018-03-29 21:52:40,8000
LK,124.43.28.18,TCP,2018-03-30 03:56:13,8000
LK,124.43.28.18,TCP,2018-03-29 20:03:42,8000
LK,220.247.207.182,TCP,2018-03-29 18:50:27,2009
LK,220.247.207.182,TCP,2018-03-29 20:53:01,2009
LK,124.43.28.18,TCP,2018-03-29 17:54:33,8000
LK,124.43.28.18,TCP,2018-03-29 17:26:17,8000
LK,112.134.181.156,TCP,2018-03-30 05:03:07,2009
LK,220.247.207.182,TCP,2018-03-30 05:33:43,2009
LK,220.247.207.182,TCP,2018-03-29 23:55:55,2009
LK,124.43.28.18,TCP,2018-03-29 20:52:08,8000
LK,124.43.28.18,TCP,2018-03-29 20:48:05,8000
LK,124.43.28.18,TCP,2018-03-30 03:51:47,8080
LK,124.43.28.18,TCP,2018-03-30 05:45:00,8000
LK,124.43.28.18,TCP,2018-03-30 05:24:49,8000
LK,124.43.28.18,TCP,2018-03-29 18:59:07,8000
LK,124.43.28.18,TCP,2018-03-29 16:41:53,8000
LK,124.43.28.18,TCP,2018-03-29 16:54:00,8000
LK,124.43.28.18,TCP,2018-03-30 02:55:36,8000
LK,124.43.28.18,TCP,2018-03-30 02:51:25,8000
LK,220.247.207.182,TCP,2018-03-29 16:59:25,2009
LK,220.247.207.182,TCP,2018-03-29 16:40:21,2009
LK,124.43.28.18,TCP,2018-03-30 01:50:49,8000
LK,124.43.28.18,TCP,2018-03-30 01:42:44,8000
LK,220.247.207.182,TCP,2018-03-30 01:35:13,2009
LK,124.43.28.18,TCP,2018-03-29 22:57:15,8000
LK,124.43.28.18,TCP,2018-03-29 22:45:09,8000
LK,124.43.28.18,TCP,2018-03-29 22:12:51,8000
LK,124.43.28.18,TCP,2018-03-30 00:51:39,8080
LK,112.134.91.111,TCP,2018-03-30 05:50:45,2009
LK,112.134.181.156,TCP,2018-03-30 06:20:37,2009
LK,112.134.181.156,TCP,2018-03-30 06:21:44,2009
LK,124.43.28.18,TCP,2018-03-29 17:58:36,8000
LK,124.43.28.18,TCP,2018-03-29 17:46:28,8000
LK,112.134.181.156,TCP,2018-03-30 05:52:32,2009
LK,112.134.181.156,TCP,2018-03-30 05:56:42,2009
LK,112.134.181.156,TCP,2018-03-30 05:40:35,2009
LK,112.134.181.156,TCP,2018-03-30 05:01:02,2009
LK,220.247.207.182,TCP,2018-03-29 23:52:42,2009
LK,220.247.207.182,TCP,2018-03-29 23:48:26,2009
LK,112.134.186.114,TCP,2018-03-30 06:56:02,2009
LK,112.134.186.114,TCP,2018-03-30 06:52:54,2009
LK,112.134.186.114,TCP,2018-03-30 06:35:55,2009
LK,112.134.181.156,TCP,2018-03-30 06:14:24,2009
LK,124.43.28.18,TCP,2018-03-29 23:45:41,8000
LK,124.43.28.18,TCP,2018-03-30 03:36:00,8000
LK,124.43.28.18,TCP,2018-03-30 05:57:07,8000
LK,220.247.207.182,TCP,2018-03-30 03:52:49,2009
LK,112.134.181.156,TCP,2018-03-30 05:55:41,2009
LK,220.247.207.182,TCP,2018-03-29 18:52:35,2009
LK,220.247.207.182,TCP,2018-03-30 01:55:09,2009
LK,124.43.28.18,TCP,2018-03-30 01:54:50,8000
LK,124.43.28.18,TCP,2018-03-30 02:59:38,8000
LK,112.134.91.111,TCP,2018-03-30 05:34:25,2009
LK,124.43.28.18,TCP,2018-03-29 17:02:04,8000
LK,112.134.181.156,TCP,2018-03-30 05:51:29,2009
LK,220.247.207.182,TCP,2018-03-30 05:53:57,2009
LK,220.247.207.182,TCP,2018-03-29 23:58:02,2009
LK,124.43.28.18,TCP,2018-03-30 06:01:31,1
LK,124.43.28.18,TCP,2018-03-29 22:51:18,8080
LK,124.43.28.18,TCP,2018-03-29 22:13:17,1
LK,220.247.207.182,TCP,2018-03-29 20:37:19,2009
LK,112.134.88.207,TCP,2018-03-29 16:00:25,2009
LK,124.43.28.18,TCP,2018-03-29 18:06:39,8000
LK,124.43.28.18,TCP,2018-03-29 21:48:39,8000
LK,124.43.28.18,TCP,2018-03-30 03:07:43,8000
LK,124.43.28.18,TCP,2018-03-29 23:33:35,8000
LK,124.43.28.18,TCP,2018-03-29 23:53:46,8000
LK,124.43.28.18,TCP,2018-03-30 00:46:14,8000
LK,124.43.28.18,TCP,2018-03-30 04:50:16,8080
LK,124.43.28.18,TCP,2018-03-29 22:49:10,8000
LK,220.247.207.182,TCP,2018-03-29 17:53:58,2009
LK,220.247.207.182,TCP,2018-03-29 17:33:39,2009
LK,124.43.28.18,TCP,2018-03-29 21:40:34,8000
LK,124.43.28.18,TCP,2018-03-29 21:32:29,8000
LK,124.43.28.18,TCP,2018-03-30 03:48:09,8000
LK,124.43.28.18,TCP,2018-03-30 03:52:13,8000
LK,124.43.28.18,TCP,2018-03-30 03:27:56,8000
LK,124.43.28.18,TCP,2018-03-30 03:11:47,8000
LK,220.247.207.182,TCP,2018-03-30 06:53:12,2009
LK,220.247.207.182,TCP,2018-03-30 06:45:42,2009
LK,124.43.28.18,TCP,2018-03-30 00:58:20,8000
LK,124.43.28.18,TCP,2018-03-30 00:22:01,8000
LK,220.247.207.182,TCP,2018-03-30 03:51:45,2009
LK,220.247.207.182,TCP,2018-03-29 17:31:32,2009
LK,124.43.28.18,TCP,2018-03-30 01:55:06,8080
LK,220.247.207.182,TCP,2018-03-29 17:40:04,2009
