Country,client_ip,protocol,time1,server_port
LK,124.43.28.18,TCP,2018-03-30 18:38:32,8000
LK,112.135.115.157,TCP,2018-03-31 10:50:51,8080
LK,112.134.75.15,TCP,2018-03-31 02:26:46,80
LK,112.134.91.241,TCP,2018-03-31 13:50:13,2009
LK,220.247.207.182,TCP,2018-03-31 09:25:36,2009
LK,124.43.28.18,TCP,2018-03-30 17:17:49,8000
LK,124.43.28.18,TCP,2018-03-31 10:52:09,8000
LK,124.43.28.18,TCP,2018-03-31 01:58:31,8000
LK,124.43.28.18,TCP,2018-03-31 01:54:29,8000
LK,124.43.28.18,TCP,2018-03-31 01:46:25,8000
LK,124.43.28.18,TCP,2018-03-31 04:46:18,8000
LK,124.43.28.18,TCP,2018-03-31 04:42:15,8000
LK,124.43.28.18,TCP,2018-03-31 04:34:11,8000
LK,124.43.28.18,TCP,2018-03-31 06:51:35,8000
LK,124.43.28.18,TCP,2018-03-31 06:59:39,8000
LK,124.43.28.18,TCP,2018-03-31 06:35:26,8000
LK,124.43.28.18,TCP,2018-03-31 05:38:50,8000
LK,112.134.91.241,TCP,2018-03-31 12:00:12,2009
LK,124.43.28.18,TCP,2018-03-31 08:50:58,8000
LK,124.43.28.18,TCP,2018-03-31 08:14:30,8000
LK,124.43.28.18,TCP,2018-03-31 11:32:31,8000
LK,124.43.28.18,TCP,2018-03-30 18:50:04,8080
LK,124.43.28.18,TCP,2018-03-31 07:50:17,8000
LK,124.43.28.18,TCP,2018-03-31 07:11:49,8000
LK,124.43.28.18,TCP,2018-03-30 21:28:03,8000
LK,124.43.28.18,TCP,2018-03-31 13:53:48,8000
LK,124.43.28.18,TCP,2018-03-31 13:45:43,8000
LK,124.43.28.18,TCP,2018-03-31 13:41:42,8000
LK,124.43.28.18,TCP,2018-03-31 09:50:21,8080
LK,220.247.207.182,TCP,2018-03-30 20:24:06,2009
LK,124.43.28.18,TCP,2018-03-31 11:55:04,8080
LK,124.43.28.18,TCP,2018-03-30 20:51:44,8000
LK,124.43.28.18,TCP,2018-03-30 20:27:31,8000
LK,124.43.28.18,TCP,2018-03-31 10:40:02,8000
LK,124.43.28.18,TCP,2018-03-31 03:13:24,8000
LK,220.247.207.182,TCP,2018-03-31 12:20:42,2009
LK,124.43.28.18,TCP,2018-03-31 05:58:59,8000
LK,124.43.28.18,TCP,2018-03-31 12:53:02,8080
LK,124.43.28.18,TCP,2018-03-31 06:31:27,8000
LK,124.43.28.18,TCP,2018-03-30 17:54:09,8000
LK,124.43.28.18,TCP,2018-03-30 17:33:58,8000
LK,124.43.28.18,TCP,2018-03-31 00:53:57,8000
LK,124.43.28.18,TCP,2018-03-31 00:49:55,8000
LK,124.43.28.18,TCP,2018-03-31 00:25:42,8000
LK,220.247.207.182,TCP,2018-03-31 11:49:25,2009
LK,124.43.28.18,TCP,2018-03-31 12:57:17,8000
LK,124.43.28.18,TCP,2018-03-31 02:47:11,8000
LK,124.43.28.18,TCP,2018-03-31 02:14:44,8000
LK,220.247.207.182,TCP,2018-03-31 14:08:53,2009
LK,124.43.28.18,TCP,2018-03-30 20:55:47,8000
LK,124.43.28.18,TCP,2018-03-30 20:59:48,8000
LK,124.43.28.18,TCP,2018-03-30 20:35:35,8000
LK,124.43.28.18,TCP,2018-03-31 09:39:23,8000
LK,124.43.28.18,TCP,2018-03-31 09:27:16,8000
LK,112.134.91.241,TCP,2018-03-31 12:57:15,2009
LK,112.134.91.241,TCP,2018-03-31 14:57:09,2009
LK,124.43.28.18,TCP,2018-03-31 08:51:02,8080
LK,124.43.28.18,TCP,2018-03-31 03:50:08,8080
LK,124.43.28.18,TCP,2018-03-30 19:55:14,8000
LK,124.43.28.18,TCP,2018-03-30 19:51:12,8000
LK,124.43.28.18,TCP,2018-03-30 19:50:43,8080
LK,124.43.28.18,TCP,2018-03-30 23:52:24,8080
LK,124.43.28.18,TCP,2018-03-30 16:50:01,8080
LK,124.43.28.18,TCP,2018-03-31 08:54:59,8000
LK,220.247.207.182,TCP,2018-03-30 21:53:21,2009
LK,124.43.28.18,TCP,2018-03-31 11:36:33,8000
LK,220.247.207.182,TCP,2018-03-30 18:27:53,2009
LK,124.43.28.18,TCP,2018-03-30 18:54:41,8000
LK,124.43.28.18,TCP,2018-03-30 18:58:43,8000
LK,124.43.28.18,TCP,2018-03-30 21:56:19,8000
LK,124.43.28.18,TCP,2018-03-30 21:40:10,8000
LK,112.134.94.223,TCP,2018-03-31 10:50:40,2009
LK,220.247.207.182,TCP,2018-03-31 04:26:09,2009
LK,124.43.28.18,TCP,2018-03-31 13:49:45,8000
LK,112.134.91.241,TCP,2018-03-31 11:47:51,2009
LK,112.134.94.223,TCP,2018-03-31 11:17:34,2009
LK,112.134.94.223,TCP,2018-03-31 11:15:25,2009
LK,112.134.94.223,TCP,2018-03-31 11:08:57,2009
LK,220.247.207.182,TCP,2018-03-30 21:13:09,2009
LK,124.43.28.18,TCP,2018-03-31 11:52:42,8000
LK,124.43.28.18,TCP,2018-03-31 11:40:36,8000
LK,124.43.28.18,TCP,2018-03-30 23:12:59,8000
LK,124.43.28.18,TCP,2018-03-31 01:50:27,8000
LK,124.43.28.18,TCP,2018-03-31 01:38:21,8000
LK,124.43.28.18,TCP,2018-03-31 01:10:05,8000
LK,124.43.28.18,TCP,2018-03-31 04:50:23,8000
LK,124.43.28.18,TCP,2018-03-31 05:34:47,8000
LK,124.43.28.18,TCP,2018-03-31 05:06:32,8000
LK,220.247.207.182,TCP,2018-03-30 17:14:40,2009
LK,124.43.28.18,TCP,2018-03-30 22:48:47,8000
LK,124.43.28.18,TCP,2018-03-30 22:32:38,8000
LK,220.247.207.182,TCP,2018-03-30 22:02:52,2009
LK,124.43.28.18,TCP,2018-03-31 14:54:25,8000
LK,124.43.28.18,TCP,2018-03-31 14:50:23,8000
LK,124.43.28.18,TCP,2018-03-31 14:46:20,8000
LK,112.134.94.223,TCP,2018-03-31 09:54:32,2009
LK,112.134.94.223,TCP,2018-03-31 09:52:23,2009
LK,124.43.28.18,TCP,2018-03-31 06:39:29,8000
LK,124.43.28.18,TCP,2018-03-30 16:53:36,8000
LK,124.43.28.18,TCP,2018-03-30 16:49:34,8000
